unlearning_classes:1
unlearning_grad:[tensor(116.6939, device='cuda:0'), tensor(109.4793, device='cuda:0'), tensor(128.6138, device='cuda:0'), tensor(128.2480, device='cuda:0'), tensor(124.8769, device='cuda:0'), tensor(124.7592, device='cuda:0'), tensor(115.1493, device='cuda:0'), tensor(118.5361, device='cuda:0'), tensor(126.9902, device='cuda:0'), tensor(114.2286, device='cuda:0')]
unlearning_grad:[tensor(120.5354, device='cuda:0'), tensor(110.1193, device='cuda:0'), tensor(132.2070, device='cuda:0'), tensor(132.7901, device='cuda:0'), tensor(125.0366, device='cuda:0'), tensor(128.7034, device='cuda:0'), tensor(113.8803, device='cuda:0'), tensor(124.2613, device='cuda:0'), tensor(124.8760, device='cuda:0'), tensor(116.3029, device='cuda:0')]
unlearning_grad:[tensor(134.5008, device='cuda:0'), tensor(114.3121, device='cuda:0'), tensor(133.9293, device='cuda:0'), tensor(132.7444, device='cuda:0'), tensor(128.7404, device='cuda:0'), tensor(130.8958, device='cuda:0'), tensor(121.5159, device='cuda:0'), tensor(123.4275, device='cuda:0'), tensor(116.0544, device='cuda:0'), tensor(117.4111, device='cuda:0')]
unlearning_grad:[tensor(119.1386, device='cuda:0'), tensor(114.8627, device='cuda:0'), tensor(134.2724, device='cuda:0'), tensor(126.2696, device='cuda:0'), tensor(124.2187, device='cuda:0'), tensor(124.6345, device='cuda:0'), tensor(114.8010, device='cuda:0'), tensor(121.1074, device='cuda:0'), tensor(112.4804, device='cuda:0'), tensor(114.5723, device='cuda:0')]
unlearning_grad:[tensor(116.0498, device='cuda:0'), tensor(104.2799, device='cuda:0'), tensor(125.7875, device='cuda:0'), tensor(124.0465, device='cuda:0'), tensor(125.0555, device='cuda:0'), tensor(120.9089, device='cuda:0'), tensor(111.0161, device='cuda:0'), tensor(116.1193, device='cuda:0'), tensor(108.7914, device='cuda:0'), tensor(109.8337, device='cuda:0')]
unlearning_grad:[tensor(130.5379, device='cuda:0'), tensor(121.0931, device='cuda:0'), tensor(142.3004, device='cuda:0'), tensor(139.4075, device='cuda:0'), tensor(141.1218, device='cuda:0'), tensor(137.9902, device='cuda:0'), tensor(123.7837, device='cuda:0'), tensor(134.0670, device='cuda:0'), tensor(124.6849, device='cuda:0'), tensor(124.0729, device='cuda:0')]
unlearning_grad:[tensor(123.9309, device='cuda:0'), tensor(112.2290, device='cuda:0'), tensor(135.2254, device='cuda:0'), tensor(131.2082, device='cuda:0'), tensor(128.9624, device='cuda:0'), tensor(128.7728, device='cuda:0'), tensor(116.8043, device='cuda:0'), tensor(124.4191, device='cuda:0'), tensor(117.6763, device='cuda:0'), tensor(119.3317, device='cuda:0')]
unlearning_grad:[tensor(119.9031, device='cuda:0'), tensor(111.3790, device='cuda:0'), tensor(129.9975, device='cuda:0'), tensor(133.1051, device='cuda:0'), tensor(126.9478, device='cuda:0'), tensor(131.2024, device='cuda:0'), tensor(118.2064, device='cuda:0'), tensor(122.5821, device='cuda:0'), tensor(131.9286, device='cuda:0'), tensor(117.2346, device='cuda:0')]
unlearning_grad:[tensor(125.1768, device='cuda:0'), tensor(109.4586, device='cuda:0'), tensor(132.8699, device='cuda:0'), tensor(132.5190, device='cuda:0'), tensor(129.7837, device='cuda:0'), tensor(127.5248, device='cuda:0'), tensor(114.6253, device='cuda:0'), tensor(133.4481, device='cuda:0'), tensor(116.3077, device='cuda:0'), tensor(119.9093, device='cuda:0')]
unlearning_grad:[tensor(130.0930, device='cuda:0'), tensor(121.2274, device='cuda:0'), tensor(140.9190, device='cuda:0'), tensor(138.1694, device='cuda:0'), tensor(138.2175, device='cuda:0'), tensor(142.2646, device='cuda:0'), tensor(122.3087, device='cuda:0'), tensor(130.6828, device='cuda:0'), tensor(123.9793, device='cuda:0'), tensor(125.1045, device='cuda:0')]
unlearning_grad:[tensor(120.9781, device='cuda:0'), tensor(122.4069, device='cuda:0'), tensor(133.1986, device='cuda:0'), tensor(129.4741, device='cuda:0'), tensor(130.7461, device='cuda:0'), tensor(129.2325, device='cuda:0'), tensor(115.6395, device='cuda:0'), tensor(120.8273, device='cuda:0'), tensor(117.9966, device='cuda:0'), tensor(115.0555, device='cuda:0')]
